,genes,state,dev,pval
307,ATP5F1A_RACK1_ATP5F1E_SELENOP,1111,14230.120844222527,8.234392511158944e-95
313,SELENOF_ATP5MC2_RACK1_ATP5F1E,1111,11507.66356292702,1.1680965042337962e-150
320,SELENOF_RACK1_ATP5F1E_SELENOP,1111,6000.328634471232,1.025863108609958e-135
3,ATP5F1A_ATP5MG_ATP5F1E,111,4242.9740105799365,2.3786771625593278e-30
325,ATP5F1B_RACK1_ATP5F1E_SELENOP,1111,2867.7495528058867,2.2293334020177327e-171
330,ATP5PO_RACK1_ATP5F1E_SELENOP,1111,2645.2514408150773,1.5968124980803698e-115
7,SELENOF_ATP5MC2_RACK1,111,2381.6198551543075,5.043542120871375e-34
11,SELENOF_ATP5MC2_ATP5F1E,111,2336.2931028886724,5.620675830975361e-31
335,ATP5MPL_RACK1_ATP5F1E_SELENOP,1111,1936.2952904643817,0.0
15,ATP5F1A_ATP5F1E_SELENOP,111,1845.7770645091077,1.2053395878777373e-72
19,ATP5F1A_RACK1_SELENOP,111,1840.6765054169816,8.559833070723139e-33
23,SELENOF_RACK1_SELENOP,111,1178.9551240669994,1.2336728718530804e-38
27,SELENOK_RACK1_SELENOP,111,1150.3707882683213,1.4961992635357047e-30
340,ATP5PB_RACK1_ATP5F1E_SELENOP,1111,1133.2947648133877,0.0
31,SELENOF_RACK1_ATP5F1E,111,1108.7099189062917,7.715157106341387e-83
35,CIAO2B_RACK1_SELENOP,111,1106.0743593678073,4.224867317387383e-25
345,MATR3_RACK1_ATP5F1E_SELENOP,1111,996.7938500215432,1.534367198057902e-68
39,ATP5F1B_RACK1_SELENOP,111,988.4753558364107,5.132195519983876e-53
43,SELENOK_RACK1_ATP5F1E,111,935.7134502923977,6.950682291193115e-22
47,ATP5PO_RACK1_ATP5F1E,111,850.2505853734682,1.0685267340111234e-46
51,SELENOF_ATP5F1E_SELENOP,111,804.8528755911686,2.892806510981284e-46
55,RTRAF_RACK1_ATP5F1E,111,782.7161762765537,4.776326181906411e-46
59,ATP5MPL_RACK1_ATP5F1E,111,768.9508316236953,2.552431808300875e-144
63,SELENOK_ATP5F1E_SELENOP,111,734.8991679586563,5.821774636746269e-26
67,ATP5PB_RACK1_SELENOP,111,725.0334149633994,3.9331945568737694e-77
70,ATP5ME_ATP5F1E_SELENOP,111,712.1324554074332,2.544315715427405e-96
73,CRYBG1_RACK1_ATP5F1E,111,708.0235230035988,1.0755607373638999e-47
77,ATP5PO_RACK1_SELENOP,111,694.8638382672019,1.0586202782269927e-42
350,EREG_CXCL8_IL1B_FCN1,1111,675.9597980693783,6.668799673514309e-134
355,PLTP_CD68_C1QC_RNASE1,1111,638.2488281477968,2.006365041078011e-270
81,ATP5PO_ATP5F1E_SELENOP,111,594.2241844177329,1.3019753783892194e-48
85,ATP5MPL_ATP5F1E_SELENOP,111,576.3858329532685,4.544984554065464e-95
89,ATP5PB_ATP5F1E_SELENOP,111,539.2900674207239,1.913326679900139e-105
93,MATR3_RACK1_SELENOP,111,519.0422927627855,2.961312376920615e-38
95,FSCN1_COL4A1_PLVAP,111,511.47568977151855,1.4308232361517592e-97
99,ATP5F1B_ATP5F1E_SELENOP,111,497.4833271606284,1.4756984401481422e-26
102,ATP5F1B_RACK1_ATP5F1E,111,497.02200780739446,1.7428867935169204e-117
105,ATP5PB_RACK1_ATP5F1E,111,479.51868266014384,1.0629131803409661e-125
109,MATR3_ATP5F1E_SELENOP,111,453.10708534621574,2.9227866649720662e-46
309,SELENOF_ATP5MC2_RACK1_ATP5F1E,0111,329.61235885318393,1.1786888842926567e-204
304,ATP5F1A_RACK1_ATP5F1E_SELENOP,1011,308.5506223016188,2.7886470396062864e-53
302,ATP5F1A_RACK1_ATP5F1E_SELENOP,0111,301.9784162122613,2.461603294926138e-100
112,MATR3_RACK1_ATP5F1E,111,297.04007569521406,4.0080969940845245e-63
116,MINDY2_RACK1_ATP5F1E,111,244.09527157246575,4.530856098127754e-31
119,ADAMTS1_CLDN5_SPARC,111,230.40970637845075,2.9648922682964387e-46
306,ATP5F1A_RACK1_ATP5F1E_SELENOP,1110,225.56885284553945,1.6946024486084606e-32
121,IGHG4_IGHG1_IGKC,111,216.09886998247043,2.2973663108313316e-28
123,ATP5ME_RACK1_ATP5F1E,111,210.47274357977815,5.5415148480863855e-129
125,ADAMTS4_COL4A1_IGFBP7,111,189.55788627848352,7.299259821114003e-152
310,SELENOF_ATP5MC2_RACK1_ATP5F1E,1011,189.4430534560462,3.629857704559009e-59
129,VSIR_SPI1_ATP5F1E,111,185.03643771569614,7.77401168340606e-35
319,SELENOF_RACK1_ATP5F1E_SELENOP,1110,162.40214566088468,4.0786930231531846e-57
305,ATP5F1A_RACK1_ATP5F1E_SELENOP,1101,159.5429561783105,3.660044768182745e-21
316,SELENOF_RACK1_ATP5F1E_SELENOP,0111,155.54379498983005,5.320388336941277e-145
130,HSD11B1_CPB2_CYP3A4,111,151.33405599889298,1.101408975903961e-22
134,EREG_IL1B_FCN1,111,147.5021469465649,2.86449436753462e-17
137,COL6A2_COL6A1_SPARC,111,140.35187580853815,1.4711746212972902e-20
139,BEX3_ATP5F1E_SELENOP,111,116.09580346884059,7.687183385929614e-38
356,MSMO1_SERPINC1_F5_SCD,1111,107.80463013556744,4.306293539607818e-158
312,SELENOF_ATP5MC2_RACK1_ATP5F1E,1110,104.67413457791423,3.5252894041084236e-19
326,ATP5PO_RACK1_ATP5F1E_SELENOP,0111,102.79280711513535,8.244135935952208e-115
324,ATP5F1B_RACK1_ATP5F1E_SELENOP,1110,99.57759085913595,3.189333374724881e-82
140,CXCL1_IER3_CXCL3,111,99.07823597642623,2.0151683639642277e-47
141,ADIRF_ACKR1_CAV1,111,98.69718206268458,6.690281136952344e-38
311,SELENOF_ATP5MC2_RACK1_ATP5F1E,1101,97.0026061418951,3.062306792802403e-17
357,CREG1_CTSB_GRN_SELENOP,1111,93.70149663714207,3.4515077245331836e-177
317,SELENOF_RACK1_ATP5F1E_SELENOP,1011,91.35090179802833,2.114860195261279e-29
341,MATR3_RACK1_ATP5F1E_SELENOP,0111,90.87995025465081,1.4917760957013364e-266
359,IL6R_APOB_LYZ_SELENOP,1111,90.16301982675813,1.33265672573028e-167
143,EREG_CXCL8_FCN1,111,86.88630611455109,1.953674481249034e-24
360,PALLD_SCD_GJB1_FN1,1111,81.44857534362518,2.6567593886611324e-297
321,ATP5F1B_RACK1_ATP5F1E_SELENOP,0111,81.03546742580683,2.1718683481852585e-137
318,SELENOF_RACK1_ATP5F1E_SELENOP,1101,79.9738455757242,2.0674557299973527e-22
144,MB_NDUFA4L2_TFF2,111,79.50370370370372,6.824484511777209e-18
331,ATP5MPL_RACK1_ATP5F1E_SELENOP,0111,72.92698986958716,2.167969953946358e-292
146,KNG1_CYP2E1_HPD,111,66.17991880979456,7.915102614948598e-37
148,CD36_COL4A1_TM4SF1,111,65.98255360623781,2.394354525063596e-28
149,DHRS2_ATF5_MLXIPL,111,65.90443178178712,1.1031748324374673e-22
329,ATP5PO_RACK1_ATP5F1E_SELENOP,1110,65.42250319588425,7.347810675559615e-27
362,CYP2C9_HPX_CPS1_GC,1111,65.31276782651709,6.597038976769254e-62
151,CHCHD10_ATP5MG_SELENOP,111,63.56551417552638,2.6462519616447237e-50
152,FSCN1_RNASE1_PLVAP,111,61.850124893319844,8.184639931578303e-28
154,FSCN1_RNASE1_COL4A1,111,61.58922135590717,2.5744124000992512e-15
364,FUCA1_EPHX1_GPC3_GRN,1111,61.499539481702506,1.5081411195319136e-261
155,FSCN1_MPEG1_RNASE1,111,61.34298027811482,1.73618870537867e-85
327,ATP5PO_RACK1_ATP5F1E_SELENOP,1011,61.12839938673522,4.207993275026382e-29
156,CYP2C9_CPS1_MLXIPL,111,59.63323827005223,6.768407333423399e-74
157,PKD2_TM4SF1_IGFBP7,111,58.46251082251082,3.726574468146325e-34
336,ATP5PB_RACK1_ATP5F1E_SELENOP,0111,57.65353188417103,0.0
328,ATP5PO_RACK1_ATP5F1E_SELENOP,1101,57.031829842435904,1.8027070004598208e-24
323,ATP5F1B_RACK1_ATP5F1E_SELENOP,1101,55.770462348942516,2.507854501832297e-28
344,MATR3_RACK1_ATP5F1E_SELENOP,1110,55.730754014602795,1.0913247142034899e-41
158,DUSP2_RGS1_LCP1,111,53.735834478021985,2.0776613697716462e-13
366,CYP2C9_CPS1_GC_MLXIPL,1111,53.04354789011159,2.6087709944488193e-21
334,ATP5MPL_RACK1_ATP5F1E_SELENOP,1110,52.73439849028076,1.1051842931838899e-77
159,EREG_CXCL8_IL1B,111,52.21310373288938,2.733323888625587e-119
160,EPAS1_IGFBP4_SPARC,111,48.48073810078255,9.561048704115638e-21
370,IL2RB_KLRB1_IL7R_CCL5,1111,47.942078474029266,9.337470248606371e-68
161,XCL1_CD69_CCL5,111,46.88398427668518,7.538563965577316e-65
0,ATP5F1A_ATP5MG_ATP5F1E,011,46.245821274998605,2.3835042820873614e-39
342,MATR3_RACK1_ATP5F1E_SELENOP,1011,45.399509158023214,1.3164123903408545e-26
163,FAM198B_ITM2B_SPARC,111,42.22290347340079,6.822747332998299e-31
164,DOCK9_IGFBP4_IGFBP7,111,41.85839662333783,4.901575676434301e-66
165,HSD11B1_APCS_CPB2,111,41.41166925939482,1.6064728010727227e-133
166,LYVE1_DAB2_PLVAP,111,40.79240386836541,1.868903254187395e-18
1,ATP5F1A_ATP5MG_ATP5F1E,101,40.66677409768047,7.373449444757438e-21
365,CYP2C9_CPS1_GC_MLXIPL,1101,38.70350462496727,2.4705525768480103e-64
343,MATR3_RACK1_ATP5F1E_SELENOP,1101,37.74211374047407,2.2989709533617883e-20
169,IL2RB_KLRB1_IL7R,111,37.453281681069015,1.3281216441468251e-15
170,IL2RB_KLRB1_CCL5,111,37.1288039969032,1.4344530322853534e-135
2,ATP5F1A_ATP5MG_ATP5F1E,110,35.77009291299687,1.0242292926659648e-10
171,EMB_LTB_SRGN,111,35.73693899522015,4.627837256700639e-43
172,ADIRF_CAV1_NDUFA4L2,111,35.69923009117303,1.6841526216183437e-46
332,ATP5MPL_RACK1_ATP5F1E_SELENOP,1011,34.201455554580434,6.374708182376204e-47
339,ATP5PB_RACK1_ATP5F1E_SELENOP,1110,33.586672021593934,1.8060865347917946e-63
173,MT1M_MT1G_PLA2G2A,111,32.89772026884693,7.699153919816992e-51
17,ATP5F1A_RACK1_SELENOP,101,32.73366473447818,2.948613431064218e-27
4,SELENOF_ATP5MC2_RACK1,011,32.72178603144817,5.64965668059807e-44
372,DUSP2_NFKBIA_LCP1_SRGN,1111,32.39578160997776,1.6533594798531272e-122
174,DAB2_RNASE1_PLVAP,111,31.821015016678608,7.717078141560741e-36
8,SELENOF_ATP5MC2_ATP5F1E,011,31.548796746227726,8.180546470150724e-37
373,RNF130_ITM2B_CST3_FCER1G,1111,31.4846588343622,0.0
390,CTSS_PSAP_LYZ_CD74_SRGN,11111,30.763553350338757,0.0
175,ADIRF_NDUFA4L2_TFF3,111,30.714869493974234,2.8279260879963014e-46
40,SELENOK_RACK1_ATP5F1E,011,30.55594956658787,4.038352762090905e-84
176,ADIRF_GSTA2_NDUFA4L2,111,30.118511022659984,1.4524731788442524e-27
177,SLC2A3_CXCR4_VIM,111,29.70718470718471,4.769231352702664e-22
322,ATP5F1B_RACK1_ATP5F1E_SELENOP,1011,29.55652003903589,2.359904828223759e-13
333,ATP5MPL_RACK1_ATP5F1E_SELENOP,1101,29.279209126389944,9.0752783295886e-35
337,ATP5PB_RACK1_ATP5F1E_SELENOP,1011,28.662570452046612,2.487224389997565e-49
10,SELENOF_ATP5MC2_ATP5F1E,110,28.583492146932823,3.934947699543406e-12
349,EREG_CXCL8_IL1B_FCN1,1110,28.471567306723774,9.087855957627948e-97
6,SELENOF_ATP5MC2_RACK1,110,27.877803723075203,4.972132717986009e-12
178,IL33_TM4SF1_TFF2,111,27.767299069547633,3.918779095334127e-14
179,SHISA4_GGH_SELENOP,111,27.569798181343575,2.0813121857380627e-20
181,DOK3_S100A8_MS4A7,111,27.35418948828451,3.6833671387481223e-16
18,ATP5F1A_RACK1_SELENOP,110,27.07951109875938,4.664648202705792e-15
9,SELENOF_ATP5MC2_ATP5F1E,101,26.87813112152065,3.1860184980600866e-20
182,IL6R_APOB_SELENOP,111,25.455855082092768,6.349955013023118e-26
374,DUSP2_RGS1_LCP1_SRGN,1111,25.452979626901147,2.295786776945887e-159
183,FUCA1_MS4A4A_GRN,111,25.33682800631221,1.466096310374576e-197
184,IGFBP3_TM4SF1_FN1,111,25.09996740404302,5.9075820622211234e-52
185,CCL3_AIF1_TYROBP,111,24.708176288533434,1.521949919778993e-11
60,SELENOK_ATP5F1E_SELENOP,011,24.70042537261991,1.4524523905269003e-84
186,PLBD1_MS4A6A_LYZ,111,24.579597403535182,1.63893417770416e-62
187,ATF5_SAA1_MLXIPL,111,23.967320460412864,2.008811012637374e-15
188,ATF5_BAAT_MLXIPL,111,23.157714779049172,5.136179029062702e-26
24,SELENOK_RACK1_SELENOP,011,22.309066991513895,2.2212857535616815e-54
16,ATP5F1A_RACK1_SELENOP,011,22.284014214263806,2.308358018125016e-31
189,IGHG4_FGFBP2_IGKC,111,21.912232420987287,1.0482789529205897e-19
52,RTRAF_RACK1_ATP5F1E,011,21.910124307368683,2.2084244941077132e-122
71,CRYBG1_RACK1_ATP5F1E,011,21.809889455514114,2.8295873010152248e-157
377,CYP2C9_HPX_GC_MLXIPL,1111,21.759232385712398,5.7119625756945874e-33
354,PLTP_CD68_C1QC_RNASE1,1110,21.323775476301662,1.2056910695824238e-33
338,ATP5PB_RACK1_ATP5F1E_SELENOP,1101,21.158730336397827,1.0105861223020878e-30
190,WWTR1_TM4SF1_FN1,111,20.97706641879797,9.482613889984677e-29
48,SELENOF_ATP5F1E_SELENOP,011,20.885471583649778,4.808391203273728e-92
5,SELENOF_ATP5MC2_RACK1,101,20.872731127810926,1.2152150413487052e-14
41,SELENOK_RACK1_ATP5F1E,101,20.823073214697438,1.0929494163654962e-13
191,CREG1_GRN_SELENOP,111,20.701471930358274,2.8074788563169206e-19
13,ATP5F1A_ATP5F1E_SELENOP,101,20.404494393592962,7.089049899118393e-23
192,CYP2C9_HPX_MLXIPL,111,20.389645069399005,1.994950520088015e-28
25,SELENOK_RACK1_SELENOP,101,20.37396171069647,2.2780629867395763e-16
193,PRDM1_CXCR4_VIM,111,20.324558929301766,2.3325732651374475e-16
12,ATP5F1A_ATP5F1E_SELENOP,011,20.299311809803374,8.484683134391325e-47
194,FUCA1_EPHX1_GPC3,111,20.2836614555829,4.944951600729854e-44
28,SELENOF_RACK1_ATP5F1E,011,19.99748406203252,8.248553294062493e-86
195,ADIRF_GSTA2_TFF3,111,19.970224979118623,4.137513876563011e-29
32,CIAO2B_RACK1_SELENOP,011,19.86734320700902,4.2753318335548603e-39
196,KNG1_SERPINC1_HPD,111,19.647788124706373,1.0520125007465069e-09
351,PLTP_CD68_C1QC_RNASE1,0111,19.556852165578434,2.7867341785048014e-130
197,IL2RB_IL7R_CCL5,111,19.430665504010275,2.138555175604118e-60
33,CIAO2B_RACK1_SELENOP,101,19.37397841092762,1.7267511300029898e-11
44,ATP5PO_RACK1_ATP5F1E,011,19.240039093789868,3.3696070105461505e-51
198,IGF1_SLC40A1_ITIH2,111,18.76901362249107,1.5305442012770803e-18
199,CPVL_LYZ_GRN,111,18.605491167129887,4.550237028576059e-30
120,IGHG4_IGHG1_IGKC,110,18.59911790355806,8.521545688936003e-16
200,CCL3_CCL4_TYROBP,111,18.124906714904206,2.672591061979616e-47
201,SHISA4_GGH_SCD,111,17.979858185536106,1.7828716373827468e-37
22,SELENOF_RACK1_SELENOP,110,17.902241776129905,8.54140404046437e-14
202,BCL11B_BTG1_IL7R,111,17.85434497336712,1.8353296163505649e-50
203,AKR1C2_AGR2_ITIH2,111,17.831607848713436,3.8382519479036467e-59
204,FUCA1_GPC3_GRN,111,17.805668532070598,1.2360245413964288e-48
96,ATP5F1B_ATP5F1E_SELENOP,011,17.738213594986497,4.248783165800479e-71
205,ALDH3A2_ITIH2_FN1,111,17.629006178079123,1.2221122491380116e-27
14,ATP5F1A_ATP5F1E_SELENOP,110,17.395141976333715,2.244925807735874e-15
20,SELENOF_RACK1_SELENOP,011,17.147887862899292,1.4682365562166004e-43
61,SELENOK_ATP5F1E_SELENOP,101,17.03275422207887,3.035843035108713e-15
378,SLC2A3_CXCR4_VIM_SRGN,1111,16.812146785224996,2.7316569562800263e-128
207,DUSP2_NFKBIA_LCP1,111,16.731799589431702,5.349770525159578e-10
62,SELENOK_ATP5F1E_SELENOP,110,16.552809135043905,1.6211403589845903e-12
